donation_id,episode_id,post_t,donor_type,category,holding,weight_kg,meals,pickup_lat,pickup_lon,zone,ready_until_t,safety_deadline_t,horizon_h,status,recipient_id,volunteer_id,n_offers
E000D0000,0,203.25755883634747,grocer,produce,ambient,28.259888646006655,52,12.997074371496199,77.68044944774832,suburb,275.52620282293884,3083.2575588363475,48,open,,,32
E000D0001,0,115.60399598543454,campus,cooked,hot,21.12927481804875,39,12.989729093631333,77.64179208135647,west,164.91853604359406,355.60399598543455,4,delivered,R006,V0053,8
E000D0002,0,23.958576976039346,campus,cooked,hot,16.849806931097866,31,12.986270286357872,77.57602977340942,east,80.14017944597303,263.95857697603935,4,delivered,R003,V0006,4
E000D0003,0,339.7170803762623,restaurant,cooked,hot,10.79357949490036,20,12.985663922141185,77.62006127995541,west,439.9381899331189,579.7170803762623,4,delivered,R006,V0080,20
E000D0004,0,108.05447582085483,restaurant,cooked,hot,3.603630623668032,7,12.924108616160611,77.59568425083327,south,138.46976293179839,348.0544758208548,4,delivered,R007,V0006,4
E000D0005,0,331.55529739709436,caterer,cooked,hot,35.55911872244576,65,12.991466709851748,77.57988402317109,north,447.59719161783795,631.5552973970944,5,open,,,7
E000D0006,0,350.2274777449654,bakery,bakery,ambient,5.162148485869107,9,13.022467841586147,77.62779782982976,north,448.67777125306,1790.2274777449654,24,delivered,R004,V0004,4
E000D0007,0,43.28217547246282,restaurant,cooked,hot,4.2456725371321795,8,12.927057899753088,77.59045338035419,south,132.23043977699575,283.2821754724628,4,delivered,R007,V0051,12
E000D0008,0,217.63187373985886,grocer,produce,ambient,25.612418155146504,47,12.951733451861847,77.66377246763722,west,336.73807388019804,3097.6318737398587,48,delivered,R005,V0061,8
E000D0009,0,335.93370132259395,restaurant,cooked,hot,14.514995774260594,27,12.968717129290155,77.58535811472076,downtown,411.2669949819999,575.933701322594,4,delivered,R002,V0026,8
E000D0010,0,68.94943610099298,restaurant,cooked,hot,13.508236911462454,25,12.978313039300506,77.5632307268686,east,169.8898965133326,308.949436100993,4,delivered,R006,V0059,40
E000D0011,0,129.67792338551703,caterer,cooked,hot,30.454573469735784,56,13.010721010096297,77.5795783510928,north,223.19789582065968,429.67792338551703,5,expired,,,7
E000D0012,0,253.90397466491348,campus,cooked,hot,14.369460186333525,26,12.959919733744726,77.59931323843092,downtown,358.99209651485126,493.90397466491345,4,delivered,R001,V0014,4
E000D0013,0,338.8933289151554,restaurant,cooked,hot,3.9840580542524915,7,12.926082690680776,77.59770501149353,south,447.9132658454657,578.8933289151554,4,delivered,R003,V0109,59
E000D0014,0,358.7813874687593,grocer,produce,ambient,26.25149517328981,48,13.000361937000298,77.6063815669246,north,408.32797060977794,3238.7813874687595,48,delivered,R001,V0053,8
E000D0015,0,133.8847239848638,restaurant,cooked,hot,5.906916332051463,11,12.972182192415065,77.59502098026256,downtown,198.02427482921655,373.8847239848638,4,delivered,R003,V0034,12
E000D0016,0,259.5404483341103,bakery,bakery,ambient,5.689341060090889,10,13.060849281210029,77.58657920033977,suburb,370.4374842392479,1699.5404483341104,24,delivered,R010,V0005,4
E000D0017,0,290.52701557844955,campus,cooked,hot,22.924218042307793,42,12.94257545486546,77.62223329952934,south,363.98914290848995,530.5270155784496,4,delivered,R007,V0104,22
E000D0018,0,156.3549617250084,bakery,bakery,ambient,7.608112911861983,14,12.946730573596392,77.642975950122,west,260.4603285032398,1596.3549617250085,24,delivered,R005,V0024,12
E000D0019,0,307.9216938389751,caterer,cooked,hot,12.286551375496282,23,12.980294667966406,77.52355970183972,east,389.9393807959238,607.9216938389751,5,delivered,R007,V0115,20
E000D0020,0,335.81480175747174,restaurant,cooked,hot,14.321547170626703,26,12.95585322410273,77.60947668249375,south,437.7087053174845,575.8148017574717,4,delivered,R005,V0006,8
